Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;TP-LINK_B13A;80:89:17:CE:B1:3A;;1;No;WPA2,WPA,AES-CCM;No;405.0;0;13;0;0;0;0;0;;;Thu Mar 12 14:12:10 2020;Thu Mar 12 14:15:57 2020;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;BC:54:FC:CB:B8:BD;;1;No;WPA,None;No;-1.0;0;0;0;39;0;0;39;;;Thu Mar 12 14:12:52 2020;Thu Mar 12 14:15:57 2020;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ME;8C:21:0A:61:38:60;;1;No;WPA2,WPA,AES-CCM;No;135.0;0;11;0;0;0;0;0;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:15:20 2020;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;MERCURY_0285;50:89:65:18:02:85;;1;No;WPA2,AES-CCM;No;270.0;0;10;0;0;0;0;0;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:13:44 2020;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;TP-LINK_戴王;48:7D:2E:96:6F:63;;1;No;WPA2,AES-CCM;No;270.0;0;3;0;0;0;0;0;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:12:43 2020;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;TP-LINK_1202;24:69:68:6E:F2:DC;;1;No;WPA2,WPA,AES-CCM;No;405.0;0;2;0;0;0;0;0;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:12:01 2020;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;C0:61:18:DE:F1:E4;;1;No;WPA,None;No;-1.0;0;0;0;13;0;0;13;;;Thu Mar 12 14:15:11 2020;Thu Mar 12 14:15:13 2020;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;54:75:95:5F:A8:57;;1;No;WPA,None;No;-1.0;0;0;0;14;0;0;14;;;Thu Mar 12 14:12:10 2020;Thu Mar 12 14:15:10 2020;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;TP-LINK_7C4C;A8:15:4D:4D:7C:4C;;1;No;WPA2,WPA,AES-CCM;No;270.0;0;6;0;2;0;0;2;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:15:13 2020;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;B8:F8:83:EC:59:7F;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Mar 12 14:12:20 2020;Thu Mar 12 14:15:12 2020;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;FAST_B7EB68;D8:15:0D:B7:EB:68;;1;No;WPA2,WPA,AES-CCM;No;270.0;0;6;0;7;0;0;7;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:15:26 2020;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;JAZZ;FC:D7:33:B1:83:40;;1;No;WPA2,WPA,AES-CCM;No;405.0;0;65;0;1459;0;0;1459;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:16:01 2020;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;重庆小而美智能家居;74:05:A5:17:46:E4;;1;No;WPA2,AES-CCM;No;270.0;0;2174;0;873;0;0;873;;;Thu Mar 12 14:12:01 2020;Thu Mar 12 14:16:01 2020;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;重庆小而美智能家居;76:05:A5:17:46:E4;;1;No;WPA2,AES-CCM;No;270.0;0;0;0;1025;0;0;1025;;;Thu Mar 12 14:12:02 2020;Thu Mar 12 14:16:01 2020;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
